country_id,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
TUR,38.74059,26.9294,336.73,0.38,0.36,2025-08-12,1110,N,VIIRS,l,2.0NRT,311.65,3.79,D
TUR,40.10863,28.27402,336.99,0.4,0.37,2025-08-12,1110,N,VIIRS,n,2.0NRT,302.7,3.99,D
TUR,41.0363,28.53336,347.61,0.41,0.37,2025-08-12,1110,N,VIIRS,n,2.0NRT,305.27,4.14,D
TUR,41.03696,28.53825,347.87,0.41,0.37,2025-08-12,1110,N,VIIRS,n,2.0NRT,308.02,7.67,D
TUR,41.0397,28.53259,338.72,0.41,0.37,2025-08-12,1110,N,VIIRS,n,2.0NRT,305,2.92,D
TUR,41.04036,28.53748,355.08,0.41,0.37,2025-08-12,1110,N,VIIRS,n,2.0NRT,308.67,8.19,D
TUR,41.04102,28.54235,336.39,0.41,0.37,2025-08-12,1110,N,VIIRS,n,2.0NRT,306.56,8.19,D
TUR,41.42152,27.27776,354.52,0.39,0.36,2025-08-12,1113,N,VIIRS,n,2.0NRT,324.2,39.86,D
TUR,41.42484,27.27691,367,0.39,0.36,2025-08-12,1113,N,VIIRS,h,2.0NRT,319.8,16.36,D
TUR,41.42816,27.27608,352.34,0.39,0.36,2025-08-12,1113,N,VIIRS,n,2.0NRT,312.02,16.36,D
TUR,41.75541,27.21828,339.74,0.39,0.36,2025-08-12,1113,N,VIIRS,l,2.0NRT,310.7,1.29,D
